D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\CNN_TRANSFORMER.py 
Epoch 1 / 100, Testing: Sensitivity: 0.3999125236915002, Specificity: 0.9744128752376616,Train Acc: 0.8847, Test Acc: 0.8853
Epoch 26 / 100, Testing: Sensitivity: 0.8813967050590465, Specificity: 0.9850038829231716,Train Acc: 0.9697, Test Acc: 0.9689
Epoch 27 / 100, Testing: Sensitivity: 0.8780434465665549, Specificity: 0.9852716707281151,Train Acc: 0.9701, Test Acc: 0.9686
Epoch 28 / 100, Testing: Sensitivity: 0.8760752296253098, Specificity: 0.9864231582893715,Train Acc: 0.9705, Test Acc: 0.9693
Epoch 29 / 100, Testing: Sensitivity: 0.8712640326578218, Specificity: 0.9867980612162922,Train Acc: 0.9703, Test Acc: 0.9689
Epoch 30 / 100, Testing: Sensitivity: 0.8702434757253243, Specificity: 0.987413973167662,Train Acc: 0.9706, Test Acc: 0.9692
Epoch 31 / 100, Testing: Sensitivity: 0.8883948097390291, Specificity: 0.984789652679217,Train Acc: 0.9708, Test Acc: 0.9698
Epoch 32 / 100, Testing: Sensitivity: 0.8738154249890655, Specificity: 0.9875076988993922,Train Acc: 0.9712, Test Acc: 0.9699
Epoch 33 / 100, Testing: Sensitivity: 0.8814696019827963, Specificity: 0.9863562113381357,Train Acc: 0.9713, Test Acc: 0.9701
Epoch 34 / 100, Testing: Sensitivity: 0.8790640034990523, Specificity: 0.9871461853627186,Train Acc: 0.9719, Test Acc: 0.9704
Epoch 35 / 100, Testing: Sensitivity: 0.8830733343052923, Specificity: 0.9868650081675281,Train Acc: 0.9719, Test Acc: 0.9708
Epoch 36 / 100, Testing: Sensitivity: 0.8779705496428051, Specificity: 0.9875210882896392,Train Acc: 0.9721, Test Acc: 0.9705
Epoch 37 / 100, Testing: Sensitivity: 0.8749817757690626, Specificity: 0.9881503896312562,Train Acc: 0.9725, Test Acc: 0.9706
Epoch 38 / 100, Testing: Sensitivity: 0.8851873450940371, Specificity: 0.9868516187772809,Train Acc: 0.9725, Test Acc: 0.9711
Epoch 39 / 100, Testing: Sensitivity: 0.8959760898090101, Specificity: 0.9848298208499585,Train Acc: 0.9725, Test Acc: 0.9710
Epoch 40 / 100, Testing: Sensitivity: 0.8852602420177869, Specificity: 0.9873202474359317,Train Acc: 0.9730, Test Acc: 0.9715
Epoch 41 / 100, Testing: Sensitivity: 0.8800116635078, Specificity: 0.9878692124360656,Train Acc: 0.9731, Test Acc: 0.9711
Epoch 42 / 100, Testing: Sensitivity: 0.8835836127715411, Specificity: 0.9880700532897732,Train Acc: 0.9731, Test Acc: 0.9719
Epoch 43 / 100, Testing: Sensitivity: 0.8811051173640473, Specificity: 0.9884985137776826,Train Acc: 0.9736, Test Acc: 0.9718
Epoch 44 / 100, Testing: Sensitivity: 0.8867181804927832, Specificity: 0.9871595747529658,Train Acc: 0.9735, Test Acc: 0.9716
Epoch 45 / 100, Testing: Sensitivity: 0.8928415220877679, Specificity: 0.9870122914602469,Train Acc: 0.9740, Test Acc: 0.9724
Epoch 46 / 100, Testing: Sensitivity: 0.8876658405015309, Specificity: 0.987654982192111,Train Acc: 0.9741, Test Acc: 0.9721
Epoch 47 / 100, Testing: Sensitivity: 0.8967050590465082, Specificity: 0.98638299011863,Train Acc: 0.9743, Test Acc: 0.9725
Epoch 48 / 100, Testing: Sensitivity: 0.8911648928415221, Specificity: 0.9873336368261789,Train Acc: 0.9739, Test Acc: 0.9724
Epoch 49 / 100, Testing: Sensitivity: 0.8952471205715119, Specificity: 0.9869855126797525,Train Acc: 0.9740, Test Acc: 0.9728
Epoch 50 / 100, Testing: Sensitivity: 0.8914564805365214, Specificity: 0.9880700532897732,Train Acc: 0.9746, Test Acc: 0.9731
Epoch 51 / 100, Testing: Sensitivity: 0.8972882344365067, Specificity: 0.9866507779235734,Train Acc: 0.9745, Test Acc: 0.9728
Epoch 52 / 100, Testing: Sensitivity: 0.8836565096952909, Specificity: 0.9895562756072088,Train Acc: 0.9750, Test Acc: 0.9731
Epoch 53 / 100, Testing: Sensitivity: 0.8810322204402974, Specificity: 0.9893688241437485,Train Acc: 0.9747, Test Acc: 0.9726
Epoch 54 / 100, Testing: Sensitivity: 0.8929873159352675, Specificity: 0.9880298851190317,Train Acc: 0.9751, Test Acc: 0.9733
Epoch 55 / 100, Testing: Sensitivity: 0.8874471497302814, Specificity: 0.9887127440216372,Train Acc: 0.9750, Test Acc: 0.9730
Epoch 56 / 100, Testing: Sensitivity: 0.9026097098702435, Specificity: 0.9866373885333262,Train Acc: 0.9758, Test Acc: 0.9736
Epoch 57 / 100, Testing: Sensitivity: 0.8945910482577635, Specificity: 0.9878424336555713,Train Acc: 0.9755, Test Acc: 0.9734
Epoch 58 / 100, Testing: Sensitivity: 0.9035573698789912, Specificity: 0.9857938569477546,Train Acc: 0.9749, Test Acc: 0.9730
Epoch 59 / 100, Testing: Sensitivity: 0.8897069543665257, Specificity: 0.9889671424363334,Train Acc: 0.9757, Test Acc: 0.9736
Epoch 60 / 100, Testing: Sensitivity: 0.9003499052339992, Specificity: 0.9869185657285168,Train Acc: 0.9757, Test Acc: 0.9735
Epoch 61 / 100, Testing: Sensitivity: 0.902026534480245, Specificity: 0.9875612564603808,Train Acc: 0.9766, Test Acc: 0.9743
Epoch 62 / 100, Testing: Sensitivity: 0.8946639451815134, Specificity: 0.9885788501191656,Train Acc: 0.9760, Test Acc: 0.9740
Epoch 63 / 100, Testing: Sensitivity: 0.8930602128590174, Specificity: 0.989328655973007,Train Acc: 0.9763, Test Acc: 0.9744
Epoch 64 / 100, Testing: Sensitivity: 0.8947368421052632, Specificity: 0.9891412045095467,Train Acc: 0.9768, Test Acc: 0.9745
Epoch 65 / 100, Testing: Sensitivity: 0.9010788744714973, Specificity: 0.9885922395094128,Train Acc: 0.9772, Test Acc: 0.9750
Epoch 66 / 100, Testing: Sensitivity: 0.8944452544102639, Specificity: 0.9893956029242428,Train Acc: 0.9768, Test Acc: 0.9747
Epoch 67 / 100, Testing: Sensitivity: 0.9044321329639889, Specificity: 0.9869319551187639,Train Acc: 0.9765, Test Acc: 0.9741
Epoch 68 / 100, Testing: Sensitivity: 0.9026826067939933, Specificity: 0.9882575047532335,Train Acc: 0.9768, Test Acc: 0.9750
Epoch 69 / 100, Testing: Sensitivity: 0.8953200174952617, Specificity: 0.9891144257290523,Train Acc: 0.9770, Test Acc: 0.9746
Epoch 70 / 100, Testing: Sensitivity: 0.9017349467852457, Specificity: 0.9888064697533674,Train Acc: 0.9772, Test Acc: 0.9753
Epoch 71 / 100, Testing: Sensitivity: 0.8992564513777519, Specificity: 0.988926974265592,Train Acc: 0.9774, Test Acc: 0.9750
Epoch 72 / 100, Testing: Sensitivity: 0.8953929144190115, Specificity: 0.9895161074364673,Train Acc: 0.9775, Test Acc: 0.9749
Epoch 73 / 100, Testing: Sensitivity: 0.9030470914127424, Specificity: 0.9886190182899071,Train Acc: 0.9779, Test Acc: 0.9753
Epoch 74 / 100, Testing: Sensitivity: 0.8981629975215046, Specificity: 0.9894625498754787,Train Acc: 0.9774, Test Acc: 0.9753
Epoch 75 / 100, Testing: Sensitivity: 0.9000583175389999, Specificity: 0.9892617090217711,Train Acc: 0.9780, Test Acc: 0.9754
Epoch 76 / 100, Testing: Sensitivity: 0.9027555037177432, Specificity: 0.9891813726802882,Train Acc: 0.9780, Test Acc: 0.9758
Epoch 77 / 100, Testing: Sensitivity: 0.9015162560139962, Specificity: 0.9899579573146239,Train Acc: 0.9779, Test Acc: 0.9762
Epoch 78 / 100, Testing: Sensitivity: 0.9020994314039947, Specificity: 0.9897705058511636,Train Acc: 0.9786, Test Acc: 0.9762
Epoch 79 / 100, Testing: Sensitivity: 0.903630266802741, Specificity: 0.9891144257290523,Train Acc: 0.9786, Test Acc: 0.9758
Epoch 80 / 100, Testing: Sensitivity: 0.9117947222627205, Specificity: 0.9870792384114827,Train Acc: 0.9776, Test Acc: 0.9754
Epoch 81 / 100, Testing: Sensitivity: 0.8975069252077562, Specificity: 0.9901855769488257,Train Acc: 0.9780, Test Acc: 0.9758
Epoch 82 / 100, Testing: Sensitivity: 0.9081498760752297, Specificity: 0.9886324076801543,Train Acc: 0.9790, Test Acc: 0.9761
Epoch 83 / 100, Testing: Sensitivity: 0.8996938329202507, Specificity: 0.9896232225584447,Train Acc: 0.9784, Test Acc: 0.9757
Epoch 84 / 100, Testing: Sensitivity: 0.9042863391164893, Specificity: 0.9893420453632542,Train Acc: 0.9789, Test Acc: 0.9761
Epoch 85 / 100, Testing: Sensitivity: 0.9069106283714827, Specificity: 0.9893152665827598,Train Acc: 0.9791, Test Acc: 0.9765
Epoch 86 / 100, Testing: Sensitivity: 0.906400349905234, Specificity: 0.9892215408510296,Train Acc: 0.9788, Test Acc: 0.9764
Epoch 87 / 100, Testing: Sensitivity: 0.9020994314039947, Specificity: 0.9896767801194334,Train Acc: 0.9789, Test Acc: 0.9761
Epoch 88 / 100, Testing: Sensitivity: 0.8978714098265054, Specificity: 0.989489328655973,Train Acc: 0.9783, Test Acc: 0.9753
Epoch 89 / 100, Testing: Sensitivity: 0.9069106283714827, Specificity: 0.9897571164609164,Train Acc: 0.9791, Test Acc: 0.9769
Epoch 90 / 100, Testing: Sensitivity: 0.9064732468289838, Specificity: 0.9897035588999277,Train Acc: 0.9790, Test Acc: 0.9768
Epoch 91 / 100, Testing: Sensitivity: 0.9066190406764835, Specificity: 0.989489328655973,Train Acc: 0.9792, Test Acc: 0.9766
Epoch 92 / 100, Testing: Sensitivity: 0.9096807114739758, Specificity: 0.989569664997456,Train Acc: 0.9799, Test Acc: 0.9772
Epoch 93 / 100, Testing: Sensitivity: 0.9077124945327307, Specificity: 0.9899311785341296,Train Acc: 0.9794, Test Acc: 0.9772
Epoch 94 / 100, Testing: Sensitivity: 0.9154395684502113, Specificity: 0.9883110623142222,Train Acc: 0.9799, Test Acc: 0.9770
Epoch 95 / 100, Testing: Sensitivity: 0.8977985129027555, Specificity: 0.9913772326808237,Train Acc: 0.9795, Test Acc: 0.9769
Epoch 96 / 100, Testing: Sensitivity: 0.9131068668902173, Specificity: 0.9889001954850976,Train Acc: 0.9797, Test Acc: 0.9771
Epoch 97 / 100, Testing: Sensitivity: 0.910774165330223, Specificity: 0.9898508421926465,Train Acc: 0.9801, Test Acc: 0.9776
Epoch 98 / 100, Testing: Sensitivity: 0.9035573698789912, Specificity: 0.9914575690223068,Train Acc: 0.9803, Test Acc: 0.9778
Epoch 99 / 100, Testing: Sensitivity: 0.9026826067939933, Specificity: 0.9906274268269823,Train Acc: 0.9799, Test Acc: 0.9770
Epoch 100 / 100, Testing: Sensitivity: 0.9084414637702289, Specificity: 0.9903462496317917,Train Acc: 0.9802, Test Acc: 0.9776
